Ministério,Categoria 01,title/pt-BR,body/pt-BR
Legislativo,Administração Pública,Autonomia do Banco Central,"Revogar o atual marco legal que auferiu autonomia ao Banco Central do Brasil. Feito isso, instituir novo marco legal que aumente o controle social e a participação popular na administração da política econômica em geral e na política monetária e de juros em particular."
Legislativo,Parceria Público Privada,Vale Alimentação para Estagiários,"Modernização da Lei nº 11.788, de 25 de setembro de 2008 para prever obrigatoriedade na concessão de vale alimentação aos estagiários, assegurando direito a alimentação saudável aos jovens e evitando a insegurança alimentar."
Meio Ambiente e Mudança do Clima,Novos Programas Governamentais / Reforma Tributária / Eletricidade,"Plano Pindorama - Uma mudança paradigmática na economia, com finalidade de alcançar o pleno emprego; justiça social, ambiental e econômica;","O Plano Pindorama é um projeto ambicioso que busca promover mudanças profundas na economia brasileira. Com foco na sustentabilidade e justiça social, visa criar um novo modelo econômico baseado em desenvolvimento humano, equidade e preservação ambiental. Por meio de ações estratégicas, busca-se impulsionar setores como energia renovável, agricultura sustentável, educação de qualidade e acesso igualitário a serviços essenciais. O objetivo é construir um futuro mais justo, sustentável e próspero."
Presidência ,Administração Pública,Relações Institucionais,"Promover na Secretaria Geral da Presidência da República, a coordenação das políticas e ações públicas elaboradas e implementadas no Governo Federal a partir do compartilhamento de informações entre todas as áreas de ação governamental. Para isso, estruturar banco de dados que possa cruzar essas informações para evitar sobreposição de ações, e estabelecer calendário para reuniões de alinhamento de informações e estabelecimento de estratégias de ação. Incentivar a prática em estados e municípios."
Legislativo,Comércio Internacional / Abastecimento,Controlar a exportação,"Deveria ser criado  uma lei para controlar as exportações, primeiro   atende-se as necessidades do País, somente depois exporta o excedente, pois os produtos são exportados, e o exportador ganha duas vezes, com a exportação e por   vender os produtos mais caros no país, pela falta deste por ter sido exportado, isso precisa ser regulamentado."
Legislativo,Administração Pública,Autonomia do Banco Central,"Elaborar Projeto de Lei que busque revogar o atual marco legal que auferiu autonomia ao Banco Central do Brasil. Feito isso, propor novo marco legal que aumente o controle social e a participação popular na administração da política econômica em geral e na política monetária e de juros em particular."
Agricultura e Pecuária,Renda Mínima / Agro / Novos Programas Governamentais,Programa renda popular,"O renda popular é um programa voltado para a agricultura familiar , com a implatação de uma cooperativa para auxiliar os pequenos agricultores e criadores no manejo na produção e na venda de seus produtos , garantindo mais segurança na produção e na venda , onde eles tem maior dificuldade , principalmente os menos favorecidos !."
"Ciência, Tecnologia e Inovação",Ampliação de Infraestrutura / Novos Programas Governamentais / Pesquisa Científica,Criação e fortalecimento de uma rede nacional de Hackerspaces,"Hackerspaces são espaços físicos que reúnem pessoas interessadas em tecnologia, eletrônica, programação e áreas relacionadas, permitindo a colaboração, compartilhamento de conhecimento e troca de ideias. Esses espaços promovem o aprendizado, estimulam a criatividade e facilitam a difusão de conhecimento. Uma rede nacional de Hackerspaces ampliaria essas oportunidades em todo o país, impulsionando a inovação e o empreendedorismo. Essa iniciativa impulsionaria o avanço tecnológico do Brasil."
Legislativo,Revogação de EC,Reforma da Previdência é reforma trabalhista ,Vamos cumprir com as promessas de campanha e fazer uma revisão da reforma da previdência é da reforma trabalhista. Dois temas fundamentais para recuperar direitos usurpador dos trabalhadores.
Judiciário,Telecomunicações,Funções de radiodifusão ,"Durante o governo Temer foram feitas alterações na lei que regula as funções do trabalho nas emissoras de rádio e TV. A mudança não teve participação de representantes dos trabalhadores, o que é irregular e inconstitucional. Que se revogue o decreto que mudou as funções desses trabalhadores."
Saúde,Mobilidade / Transporte Coletivo / Sugestão de Convênios Interfederativos,Gratuidade no Transporte Coletivo para Diabéticos Tipo I,"Essa proposta tem como objetivo, permitir que Diabéticos Tipo I tenham acesso a transporte público gratuito, tendo em vista a redução do custo de vida desses pacientes, que devido a restrição alimentar e os insumos para tratamento, tem uma condição econômica limitada na maioria das vezes. Transporte esse que por muitas vezes é utilizado pelos pacientes para as consultas, exames e dispensação dos medicamentos."
Educação,Métodos de Ensino,Atualização da  Política de Educação Especial na perspectiva da Educação Inclusiva,"É necessário rever a política de Educação Especial na Perspectiva da Educação Inclusiva que está em vigor desde 2008. No que se refere ao Atendimento Educacional Especializado, é preciso rever as diretrizes operacionais do AEE, principalmente no que se refere à carga horária do professor do AEE e o quantitativo de alunos atendidos, assunto esse que está ausente nas últimas diretrizes e deixa com que estados e municípios façam do seu modo, que muitas vezes de um modo errado."
 Gestão e da Inovação em Serviços Públicos,Administração Pública / Servidores Públicos / Revisão de Metodologias,Concurso Publico via analise Curricular,"Permitira um controle maior por parte do governo em prol daqueles que almejam cargos públicos e possibilitara aqueles que se qualificaram ao longo dos anos oportunidades, dando enfase e credibilidade aos estudos. O brasil oferece muitas oportunidades de qualificação de forma gratuita em faculdades e instituição publicas e privadas. Poderia focar agora em possibilitar melhores condições profissionais. Afinal, as pessoas estudam para que possam ter excelentes oportunidades empregatícias futuras."
Judiciário,Abastecimento / Vigilância Sanitária / Fiscalização,Meio ambiente e saúde pública ,Supressão imediata da aplicação de flúor no sistema de abastecimento público. Lei q obriga todo cidadão brasileiro a consumir este veneno foi fraudada em 1974. Nenhum método analítico detecta este elemento presente na natureza. Só é detectado o flúor químico q é aplicado nas estações e o da natureza não é detectado.
Judiciário,Abastecimento / Vigilância Sanitária / Fiscalização,Meio ambiente e saúde pública ,Supressão imediata da aplicação de flúor no sistema de abastecimento público. Lei q obriga todo cidadão brasileiro a consumir este veneno foi fraudada em 1974. Nenhum método analítico detecta este elemento presente na natureza. Só é detectado o flúor químico q é aplicado nas estações e o da natureza não é detectado. Está ação de aplicação de flúor está elevando as estatísticas de câncer devido a composição de silício na fórmula usada no tratamento de água.
Planejamento e Orçamento,Reforma Política / Administração Pública,Reducao do numero de politicos e seus beneficios.,"Reduzir o numero de politicos vizando economia para mais investimentos em saude, educação e segurança publica para todos."
Saúde,Atenção Primária,Retorno do financiamento do NASF com inclusão do nutricionista na equipe mínima de cuidado.#Propostacoletiva,"Atualmente os custos na Rede de assistência do SUS, tem aumentado consideravelmente devido ao aumento das DCNT pela má alimentação além de outras causas, aumentando os danos ao indivíduo, e estas tratadas de forma primaria e secundária a partir da educação e cuidado nutricional no NASF contribuem para aumentar a resolutividade do tratamento e evitar a  atenção de alta complexidade como (cirurgias bariátricas, amputação de membros, etc.) além de diminuir a morbimortalidade e  reduzir os danos."
Agricultura e Pecuária,Agro / Ampliação de Infraestrutura,Valorização dos profissionais de assistência técnica e extensão rural,"São os profissionais como Técnicos Agrícolas e Engenheiros Agrônomos assim como outros, que aplicam políticas públicas de ampliação da qualidade e quantidade da produção familiar, sem a valorização destes profissionais as políticas públicas estão fadadas ao fracasso, deve-se olhar para quem está na ponta aplicanto essas inovações para o campo."
Legislativo,Eleições / Reforma Política,Processo Eleitoral,"Impressão do voto na urnas, após o eleitor confirmar visualmente que a impressão é o mesmo candidato escolhido na tela."
Educação,Servidores Públicos / Sugestão de Convênios Interfederativos,Inserção do profissional nutricionistas nas escolas de médio e grande porte.#Propostacoletiva,"Segundo a lei  11.947/2009 o planejamento da alimentação escolar deve ser elaborado pelo nutricionista com o mínimo 70% de produtos básicos, máximo 30% de industrializados e o mínimo 30% da agricultura familiar. Assim como garantir que o processo de planejamento, licitação, compra, distribuição atenda as exigências legais, que seja de forma igual, e ao público que se destina, respeitar as preparações, as diferenças biológicas e de saúde sendo necessário a presença do nutricionista na escola."
Saúde,Reformas Revitalizantes / Sugestão de Convênios Interfederativos,Melhorar atendimento SUS pelo whatsapp,"Melhorar o atendimento do SUS Goiânia  623524-6305, o serviço transparece não ter supervisão."
Previdência Social,Servidores Públicos,Concurso para Perícia Médica Federal (PMF) - Ministério da Previdência Social,"A PMF junto ao INSS tem papel crucial na proteção da saúde e reconhecimento dos direitos dos trabalhadores e de pessoas portadoras de deficiência ou necessidades especiais. Devido ao grave déficit de peritos médicos (mais de 3.000) e último concurso realizado em 2011, o INSS vem retardando a análise e a concessão de benefícios previdenciários e trabalhistas. O resultado são filas desumanas e o aumento de ações e gastos judiciais. A reposição do quadro de peritos médicos é necessária e urgente."
Meio Ambiente e Mudança do Clima,Resíduos Sólidos / Abastecimento,"Pagamento por Serviços ambientais aos catadores e catadoras de reciclaveis, Economia Circular Inclusiva com recursos do Acordo Setorial de Embalagens.",No Ambito do TRATADO DE PLASTICOS discutidos e construido a nivel internacional veem a vertente da obrigatoriedade de reconhecer o CATADOR E CATADORA DE MATERIAIS Reciclaveis como protagonistas desta cadeia economica hoje pre denominada ECONOMIA CIRCULAR INCLUSIVA vem a reconhecer e fortalece a renda destes trabalhadores que muitas vezes sao invisiveis para a sociedade. Sabemos que os maiores defensores do meio ambiente é toda esta massa de TRABALHADORES que nas ruas ou nos lixoes coletam.
Trabalho e Emprego,Empregabilidade / Novos Programas Governamentais,Oportunidades emprego 50+,Valorização e criação  de vagas de emprego para pessoas acima de 50 anos. Ficam desempregadas e e sem oportunidades e precisam continuar contribuindo e participando da vida econômica do país.
Saúde,Atenção Primária,Inserção obrigatória do nutricionista em clinica de assistência especializada.#Propostacoletiva,"Segundo a Lei Federal 8234/09/91, a assistência dietoterápica, com planejamento dietético, análise, supervisão, avaliação e monitoramento da dieta, são privativos do nutricionista, e tais atividades visam melhorar o estado nutricional do enfermo para uma resposta fisiológica eficiente, redução de complicação e do tempo de internação, cabendo a este um papel importante na equipe, de assistência especializada como Renal, oncológico, terapia Enteral., sendo fundamental sua inclusão nesses serviços"
Trabalho e Emprego,Salário Mínimo / Reforma Trabalhista,Salário Mínimo Forte,"O salário mínimo deve ter um aumento mínimo de 15% por ano, fazendo assim o salário mínimo de 2024 sair de R$1320 para R$1518."
Cultura,Lazer,Musica na comunidade,"Boa tarde!
Sugiro criação de projeto musical em comunidades e bairros que ocupem nossa comunidade durante os intervalos, manha tarde ou noite conforme horario disponivel ao cidadao.
Curso que contenha arte cenica, fonoaudiologia, teoria e pratica musical.
Requisitos: o aluno precisa estar frequentando escola.
Programa esse que vai retirar muitas crianças jovens e outras faixas de idade das drogas ou ate mesmo de afazeres que nao somam pra uma boa convivencia."
Legislativo,Servidores Públicos / Administração Pública,Uso da saúde e escolas públicas,"Minha proposta é que todo agente público, do judiciário, do executivo e do legislativo seja obrigado a fazer EXCLUSIVAMENTE uso para si e para seus familiares do sistema público de educação desde a escola básica e do sistema público de sáúde - SUS.."
Previdência Social,Reforma da Previdência ,Rever reforma da previdência ,Rever alguns pontos da previdência.1 aposentadoria por contribuições.2 aposentadoria por idade
Educação,Infraestrutura,Ampliação do Campus do IFSP - Campinas nos Amarais e Campo Belo,"O IFSP Campinas está situado no Campo Grande, uma região bastante populosa de Campinas. Mas, a cidade tem grande necessidade de ensino técnico, superior e também de cursos abertos. A sugestão é que seja retomada a atividade do IFSP no campus dos Amarais e também que seja construída uma unidade no Campo Belo, uma região também bastante populosa e carente de equipamentos públicos - principalmente de educação - na cidade de Campinas."
Legislativo,Constituição,Queremos que inclua o art 144 ,Estamos com o nosso Presidente da República
" Desenvolvimento, Indústria, Comércio e Serviços",Financiamento,Crédito para Egressos do Ensino Superior ,Oferecer linha de crédito a juros abaixo do mercado para que recém formados possam abrir seu próprio negócio de acordo com sua formação acadêmica.
Cidades,Infraestrutura,"""REGULARIZAÇÃO FUNDIÁRIA"" em Cidades Democráticas, Inclusivas e Sustentáveis em todo Território Nacional.","Sabemos que a ""Moradia Digna"" é um dos direitos humanos garantidos a todos, todas e todes pela legislação internacional e também pela Constituição Brasileira. Então, faz-se necessário implementar uma Política Pública Habitacional inclusiva e de qualidade, respeitando as diversidades socio territoriais, socio-culturais das pessoas com recortes inclusivo de PCDS, mulheres vítimas de violências, a população LGBTQUIA+, as populaçõe  ribeirinhas, indígenas e das ocupações garantindo sua permanência."
Educação,Reforma do Ensino Médio,Federalização do Ensino Médio ,Federalizar o Ensino Médio para que todas as escolas de nível médio tenham a mesma qualidade dos institutos federais
Trabalho e Emprego,Inclusão Social,Inclusão Social e Econômica das Catadoras e Catadores de Materiais Recicláveis.,"Visando desenvolver a indústria recicladora dentro dos conceitos do desenvolvimento local sustentável e da economia solidária, propomos as seguintes reivindicações: A criação do Programa da Reciclagem Popular com Ecopontos nos bairros de forma humanizada, Definição legal do tratamento tributário diferenciado para as cooperativas, previsto na Constituição Federal, onde o incentivo fiscal seja vinculado ao compromisso com processos de superação da pobreza, mutualismo e desenvolvimento social no BR"
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Assistência Social,Retirada das ruas e reintegração social dos sem teto,A Finlândia implementou uma política chamada Housing First ( Habitação em primeiro lugar) que consiste em oferecer aos sem teto Habitação permanente e não temporária + a assistência social. Com essa política tem se diminuído bastante este problema.
Educação,Infraestrutura,"Criar institutos federais de arquitetura, urbanismo e ecologia em favelas, periferias e comunidades ribeirinhas - Cota para moradores locais","Criar escolas especializadas em arquitetura e urbanismo em favelas e bairros de periferia, usar como subsidio o IPTU da cidade atraves de um sistema de transferencia de renda. O prjeto poderia ser radicalmente local com reserva de vaga para moradores da propria comunidade que receber a escola."
Justiça e Segurança Pública,Segurança Local,Segurança nas cidade por bairro,"Criar de acordo as leis mecanismo que desenvolva segurança ao público em geral por bairro nas cidade onde seria ideal para o cidadão que precisa de ir e vir  onde seria criado um imposto para custear, devido ao crescimento da nossa população,seria a criação de trabalho e o profissional de segurança devidamente legalizado"
"Ciência, Tecnologia e Inovação",Infraestrutura,Não deixemos a falta de conexão nos desconectar da oportunidade de uma vida melhor - lute pelo acesso público à internet para todos os brasileiros.,"Aumento dos investimentos na infraestrutura de internet com gestão pública, visando o acesso universal de todas as pessoas, especialmente nas áreas rurais, na amazônia e periféricas. Além disso, priorizar investimentos e potencialização dos backbones da Rede Ipê da RNP, com o objetivo de integrar universidades, pesquisadores e a sociedade brasileira, visando a sociedade do do conhecimento."
Legislativo,Reforma do Código Penal,"Líderes brasileiros, para brasileiros - Crime de Lesa-pátria para políticos eleitos que lucram no exterior","Um dos caminhos que um político pode seguir é o da irresponsabilidade, onde o mesmo toma ações que são prejudiciais pra o estado mas lucrativo para si mesmo (como privatizações). Ministros lucraram com a politica de preço danosa da Petrobras, enquanto o povo empobrecia - Esse mecanismo sequer devia existir mas já que existe tem que ser considerado pelo que é: um crime de Lesa-pátria. O politico que cometer isso deve ter ao menos o seu mandato cassado."
Educação,Alimentação Escolar,Instituir Lei de obrigatoriedade de Contrapartida financeira das prefeituras municipais ao PNAE.#PROPOSTACOLETIVA ,"Na CF/88, Art 6° a alimentação é um direito garantido pelas 3 esferas, porém nos artigos 29 e 30 da mesma CF, fala sobre a autonomia dos municípios na aplicação dos recursos para o que ""o gestor achar prioridade "" e infelizmente a Alimentação Escolar, em muitos municípios não é prioridade, comprometendo o cumprimento da oferta no total de dias letivos. E hoje não há amparo legal com sanções aos municípios que não cumpre o artigo 06 da CF. Neste sentido há necessidade de legislação especifica."
Educação,Regulamentação Profissional / Infância e Juventude,Enquadramento das profissionais da primeiríssima infância ,"As profissionais que atuam na primeiríssima infância nas escolas e creches municipais, não tem o seu trabalho reconhecido embora realizem todos os deveres inerentes da docência e da carreira do magistério, atuam como professores mas não são reconhecidas legalmente para fins de direitos na carreira do magistério. Usam diversas nomenclaturas por todo território nacional para essas profissionais que realizam com responsabilidade o cuidar e o educar que são indissociáveis na educação infantil."
Educação,Regulamentação Profissional,Valorização das profissionais de educação infantil de 0 a 3 anos ,"* acesso ao piso nacional do magistério
* Cursos de formação continuada 
* Inclusão ao plano de carreira dos municípios 
* Reconhecimento da função docente 
* Acesso a 1/3 da jornada para estudo 
* Acesso a aposentadoria especial 
* Nomenclatura Única , já que no Brasil inteiro existe mais de 70 nomenclaturas para diferenciar esses profissionais dos Professores das redes municipais e não lhes dar os direitos de professor .
*Direito ao recesso escolar .
* plano de carreira para todos ."
Meio Ambiente e Mudança do Clima,Fiscalização,Investir no Meio Ambiente,"Senhores (as);

Reitero lhes que há um equivoco grave quando servidores públicos destroem equipamentos e máquinas nas ações do IBAMA/PF.

_  Não houve o devido processo legal;
_ Há uma crime ambiental quando por meio do fogo se inutiliza máquinas e equipamentos em APA;
_ Façam Leilão e revertam os valores para recuperação das áreas degradadas, bem como das multas após processo legal;
_ Façam doações aos estados e municípios;
*Se a maquina entrou. Tem como sair."
Educação,Currículo Escolar,Inclusão de conteúdos programáticos sobre política e cidadania na grade curricular da Educação Básica/Ensino Médio ,"Incluir conteúdos básicos sobre ciência política (o que é democracia, funções dos três poderes, como leis são criadas e modificadas, o que são políticas públicas e como a participação popular pode influenciá-las) e cidadania na grade curricular do Ensino Fundamental II/Ensino Médio. Isso será fundamental para garantir a democracia brasileira no longo prazo ao (i) capacitar as próximas gerações e (ii) aproximar estratos sub-representados da sociedade ao centro de tomada de decisão política."
Saúde,Promoção de Saúde e Atividades Físicas,Valorizar Formação e Produção no âmbito da Promoção de Saúde e Atividades Físicas,"Aumentar Investimento em Inovação tecnológica e Publicidade para o Programa Academia da Saúde (PAS); Promover Congresso Nacional Anual com Profissionais e Gestores dos Polos do PAS e UBS com recursos IAF no formato híbrido, expondo experiências exitosas, trabalhos científicos, mini cursos, mesas redondas, etc. Estimulando a Produção e Divulgação Científica, premiando ações de destaque; Criar bônus aos Profissionais atuantes no PAS para aquisição de livros, cursos, eventos culturais e esportivos."
Cultura,Novos Programas Governamentais,"Integração Saúde, Esporte, Cultura e Lazer","Criar sistema integrado de pontuação que possibilite usuários do sistema de saúde acumular pontos quando  de utilização e /ou aquisição de produtos relacionados a prevenção e promoção da saúde (p.ex. academias, farmácias, lojas de alimentação saudável, etc.), com uso de nota fiscal, em que esses pontos sejam acumulados em um aplicativo para posterior utilização na aquisição de ingressos para em eventos de lazer, culturais e esportivos."
Cultura,Acesso à Cultura,"Cinemas com acecibilidades inclusivos, e tiatros...","Desejamos que todos possam ter adesão em poder frequentar um cinema, para isso tem que ter acecibilidades para: cegos , surdos e etc ... E falta essa Norma federal... queremos tiatros também para todos ... esijindo que eles tenha os aparelhos fornecendo áudio descrição  assim todos podem usufruir de um laser como um cidadão..."
Direitos Humanos e Cidadania,Novos Programas Governamentais,Centro de Referência das Juventudes,"O Centro de Referência das Juventudes tem como objetivo criar um espaço para promoção de políticas públicas voltadas para a juventude, com foco na promoção da igualdade racial, de gênero e de diversidade sexual. O centro irá oferecer serviços e atividades para atender às demandas dos jovens, além de promover a participação social e política, reduzir a violência e exclusão social, ampliar o acesso aos serviços públicos, oferecer capacitações e promover a integração dos jovens na sociedade."
Trabalho e Emprego,Terceirização,"Proposta especial, Escola Segura.","Olá!
Me chamo Richard ,sou um novo empresário no ramo de terceirizações!
Tenho muita experiência na área e gostaria muito de crescer prestando serviço para o governo federal,estadual ou para meu próprio município.
Atualmente atuo colocando Vigias e porteiros em escolas de rede privada por um valor mais acessível,gostaria muito de atender algumas escolas públicas ,assim gerando mais empregos,impostos e claro,deixando nossos pequenos seguros com ótimos profissionais da área da segurança privada."
Igualdade Racial,Ações Afirmativas,Clínica ativa Racializada no SUS,"De acordo com o IBGE (Instituto Brasileiro de Geografia e Estatística), o Brasil é majoritariamente negro,  Apesar disso, essa grande parcela da população é tratada como minoria e sente de forma cotidiana o racismo que afeta diretamente a subjetividade. Portanto, mostra-se essencial que a Psicologia, enquanto ciência e profissão, compreenda os fenômenos psíquicos a partir das questões apresentadas nas singularidades dos sujeitos. 
Um equip. com cap. de profiss. /Educ. Antirracista p/ População"
Justiça e Segurança Pública,Reformulação da Segurança Pública ,Reformulação da segurança pública no Brasil ,"1 - nível municipal: responsabilidade das guardas municipais do município, combate de crimes a nível municipal, de baixa complexidade.
3 - nível estadual: desmilitarizacao das pms, unificação da PM e da civil, responsável pelo combate de crimes q enviam mais de um município.
3 - nível federal: PF, combate de crimes q envolvam mais de um estado.
4 - demais instituições se segurança permanecem como se dncontram"
Planejamento e Orçamento,Renda Mínima,Renda mínima universal para todo cidadão brasileiro ,"1 - transformação do bolsa família para renda mínima universal, no valor de um salário mínimo
2 - todo cidadão brasileiro teria direito a este benefício, independentemente se esta trabalhando ou não,  até o limite de renda pessoal de 5 mil reais, acima disso N teria direito.
3 - será custeado com a subida de impostos sobre bens de luxo, como jet skies, lanchas e sobre bebidas alcoólicas, além da subida do imposto de renda para os mais ricos e  instituição do imposto sobre grandes fortunas"
Trabalho e Emprego,Novos Programas Governamentais,Remuneração por serviços ambientais,Valorizar os catadores e catadoras de materiais recicláveis  e os agricultores e agricultoras familiares com pagamento por serviços ambientais realizados no âmbito de suas atividades : Catadores e catadoras - abono semestral  correspondente a  da renda obtida  no período / Agricultores familiares - 50% no valor das parcela contratadas nas operações de Crédito Rural .
Controladoria-Geral da União (CGU),Auditoria Dívida Pública,Auditoria da dívida pública interna e externa,"Auditoria sobre a dívida pública interna e externa, a nível municipal, estadual e federal, a fim de encontrar e corrigir inconsistências e ilegalidades sobre a mesma, tais como dividas privadas de empresas e cidadãs sendo pagas pelo governo, corrupção,  caixa 2, lavagem de dinheiro, taxa de juros abusivas, o principal já pago e ainda assim mantem-se o pagamento, enfim, saber porque é que a dívida pública nunca é saldada ou abaixa mesmo sendo paga religiosamente em dia, só aumenta!"
 Integração e Desenvolvimento Regional,Mobilidade Urbana,Duplicação do Anel de Contorno em Feira de Santana na Bahia,"Av Eduardo Froes da Mota (Anel de Contorno), localizada em Feira de Santana-BA, é importante vetor de crescimento econômico, visto que é rota para diversas cidades do Brasil. Também é passagem para os moradores de vários bairros da cidade e representa um gargalo no transito. Apresentando engarrafamento em quase todos os horários.
É urgente a sua duplicação total e construção de vias laterais principalmente do viaduto Portal do Sertão até o viaduto da Av Maria Quitéria/Av Fraga Maia. Cerca de 5km"
Cidades,Desapropriação,Moradia Popular Urbana Vertical,"Realizar um mapeamento dos edifícios e terrenos pertencentes à União, Estados ou Municípios do Rio de Janeiro e São Paulo que estejam em estado de abandono, identificar destes os que estão em melhores condições e localizados nos centros urbanos. 

Convergir recursos públicos e mão de obra do setor privado para renovação e recondicionamento para se tornarem moradias populares permanentes ou temporárias com aluguel módico sendo o cadastro de beneficiários orientado pelo CADúnico."
Educação,Infraestrutura,Espaço educativo (creches) para filhos de servidores públicos próximos ao local de trabalho,"Creche públicas para os filhos e filhas de servidores públicos. Âmbito federal, estadual e municipal."
Educação,Fies,Anistia do FIES para todos ,"A anistia do FIES é de extrema importância para milhares de estudantes que enfrentam dificuldades financeiras. Essa medida proporciona a oportunidade de recomeço, permitindo que eles se livrem do peso das dívidas estudantis e possam construir um futuro melhor. A anistia não apenas alivia o ônus financeiro, mas também estimula a continuidade dos estudos e a formação acadêmica, garantindo a igualdade de acesso à educação. É uma medida que valoriza a busca pelo conhecimento."
" Desenvolvimento, Indústria, Comércio e Serviços",Economia Circular,Desenvolvimento da economia circular no Brasil,"Estimular o desenvolvimento da economia circular no Brasil,  começando com um amplo programa de apoio à reciclagem de resíduos, envolvendo o fortalecimento de cooperativas de recicladores, a sua integração nos serviços municipais de coleta seletiva e de logística reversa das empresas e a abertura de linhas de crédito e de incentivos fiscais para as industrias recicladoras. Criar câmaras de intermediação de descarte e aproveitamento de resíduos entre empresas e prestadores de serviços."
Igualdade Racial,Novos Programas Governamentais / Empregabilidade,Plano Juventude Negra Viva,"Ampliar o acesso da juventude negra a direitos fundamentais, por meio de políticas públicas multissetoriais para garantir a vida, a dignidade e as perspectivas de futuro desta população, com ênfase no acesso à justiça e segurança pública, geração de trabalho, emprego e renda, educação, saúde, democratização do acesso à cultura e à ciência e tecnologia e direito à cidade e valorização dos territórios."
"Ciência, Tecnologia e Inovação",Telecomunicações / Empresas Públicas / Minha casa Minha Vida,Celular Notebook Computador,"Criar mecanismo de acesso às novas ferramentas de trabalho acima,  em programas como MCMV, proporcionando igualdade às classes com menos poder aquisitivo e a possibilidade de ingresso nos novos mercados de trabalho."
Saúde,Medicamentos / Parceria Publico Privada,Medicação para terapia de pessoas com doença rara,Destinação de parte do PIB para compra/incorporação de novos medicamentos (CONITEC) para terapia de pessoas com doenças raras.
Saúde,Atenção Primária / Sugestão de Convênios Interfederativos,"Saúde da gestante, bebês e crianças","Promover o desenvolvimento pleno e integral desde o momento da concepção até os três anos de idade. Assegurar que todas as demandas nutricionais de gestantes e crianças sejam supridas por meio de alimentação saudável e equilibrada, livre de alimentos ultra-processados, de preferência orgânicos, e por meio de suplementações alimentares, quando necessário."
Saúde,Atenção Primária / Sugestão de Convênios Interfederativos,Nutricionista como gestora de políticas públicas de alimentação e nutrição ,"Existem vários programas de alimentação e nutrição que deveriam ser gerenciados por nutricionista, profissional capacitado para exercer tal função, mas nem sempre são liderados por esses profissionais. Comer é um Ato político que pressupõe conhecimento técnico nas orientações para a população."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Renda Mínima,Politicas Publicas para pessoas de baixa renda; até um salário mínimo.,"Que estas pessoas possam ter maior facilidade em retiradas de CNH, ou seja, ampliação do programa CNH social,  acesso a saúde com maior rapidez; mais projetos educacionais que priorizem também a rede municipal; leis mais firmes e duras contra racismo e injuria racial e toda forma de preconceito e leis com policiais adequados para cumpri-las.  Os que atuam hoje em dia tem mais sede de sangue do que justiça e vivem em justiça."
Educação,Universidades / Telecomunicações,Ajuda a estudantes de instituições EAD,"Criar um programa que de também condições de estudos a alunos que conseguem o pleito de cursar uma universidade seja publica ou privada de maneira a distancia.  Criar um Programa de Permanência  Estudantil  de alunos EAD. Muitos não têm acesso a internet, computadores e até mesmo celular."
Justiça e Segurança Pública,Direito Penal,Retira dos Presídios da Ilha de Itamaracá/PE,"Itamaracá, é um município localizado na RMR, que detém um potencial turístico imensurável, com praias de água mornas e o Forte Orange construído pelos holandeses. Porém esta cidade é muito prejudicada por ter em seu território um verdadeiro complexo penitenciário, composto por 02 presídios, Penitenciária Prof. Barreto Campelo, e agroindustrial São João e 01 Hospital de Custódia e Tratamento Psiquiátrico onde por vezes, se tem rebeliões causando prejuízos a sociedade e aos desenvolv. econômico"
Justiça e Segurança Pública,Direito Penal,Retirada dos Presídios da Ilha de Itamaracá/PE,"Itamaracá,é um município localizado na RMR, que detém um potencial turístico imensurável, com praias de água mornas e o Forte Orange construído pelos holandeses. Porém esta cidade é muito prejudicada por ter em seu território um verdadeiro complexo penitenciário, composto por 2 presídios, Penitenciária Prof. Barreto Campelo, e agroindustrial São João e 1 Hospital de Custódia e Tratamento Psiquiátrico onde por vezes, se tem rebeliões causando prejuízos a sociedade e aos desenvolvimento econômico."
"Ciência, Tecnologia e Inovação",Pesquisa Científica ,Reajuste anual das bolsas de pesquisa CNPq e CAPES,"Estabelecer o reajuste anual das bolsas de pesquisa CNPq e CAPES, nas diversas modalidades, a partir de 1° de janeiro de cada ano, com base no Índice Nacional de Preços ao Consumidor (INPC) acumulado no ano anterior."
Fazenda,Reforma Tributária,Nova estrutura de impostos em alimentos da cesta básica para pessoas de baixa renda,"Essa proposta visa isentar de impostos diretamente nos caixas de supermercados com identificação pelo CPF do comprador até o limite de 40% do salário mínimo todo brasileiro cadastrado em programas sociais federais/estaduais/municipais uma única vez mensalmente por núcleo famíliar na compra de alimentos da cesta básica, visando assim baratear o custo direto dos alimentos na boca do caixa, fazendo assim com que o salário mínimo seja devidamente valorizado e uma verdadeira justiça social aconteça."
Infraestrutura,Ampliação de Infraestrutura,Arco Metropolitano ligando o Porto de Suape em Ipojuca ao Polo Cervejeiro no Litoral Norte em Pernambuco,"Construção do Arco Metropolitano, corredor rodoviário alternativo para os transportes de carga, ligando o Porto de Suape em Ipojuca ao polo cervejeiro do litoral norte da RMR do Estado de Pernambuco. Com isso beneficiará o desenvolvimento nas áreas da indústria, comércio, serviços, turismo e mobilidade urbana. Por sua vez, melhorando o trânsito e o turismo nessa região, transferindo para o Arco todo o tráfego de carros pesados de Recife, Paulista, Abreu e Lima e Igarassu."
